cwspace_name,borough,neighborhood,address,floor_suite_or_room,latlng,pricing,membership_startupfees,oneperson_dailyrate,oneperson_shareddesk_monthlyrate,oneperson_dedicateddesk_monthlyrate,grouptablecluster_monthlyrate,grouptablecluster_capacity,office_monthlyrate,office_capacity,twitter,phone,email,broken_websiteurl,websiteurl,logo_filename,interiorphoto_filename,description,generic_description,amenities,owner 
Alley NYC,Manhattan,Midtown,500 7th Avenue,,,$450/month – shared desk | $640/month – private desk | offices available for $1800+  for 4-6 people,,,450,640,,,1800,4 to 6,@alleynyc,,,www.alleynyc.com,http://www.alleynyc.com,alleyNYC.png,alleyNYCint.jpg,"Located in Midtown, AlleyNYC calls itself “The Most Badass Coworking Space on the Planet.” With over 100 desks and 24 private offices available, AlleyNYC attracts a mixed crowd, including the “hustler”, “hacker” and “hipster” according to their website. The space hosts speakers and workshops for members while affording them perks like free coffee and Yoga Tuesdays. To become more affordable for members, AlleyNYC also has an ambassador program where members can work for the space and have their rent subsidized.",,,
BluePrint Health,Manhattan,SoHo,483 Broadway, 2nd Floor,,$250/month – Shared Desk | $400/month – Private Desk | dedicated seating for $1250 for 4 people,,,250,400,,,1250,4,@bphealth,,,www.blueprinthealth.org,http://www.blueprinthealth.org,blueprintHealth.jpeg,blueprintHealthint.jpg,"This 12,000 square foot SoHo loft dedicated to healthcare technology can house 250 members. Sharing the floor with the healthcare tech accelerator of the same name, the co-work space sees a lot of weekly classes and talks surrounding healthcare issues. The group plans group events like movie or bar nights to help foster a sense of community amongst the members.",,,
Centre for Social Innovation,Manhattan,Chelsea,"601 West 26th Street, Suite 325",Suite 325,,$450/month- Dedicated Desk | $950/month – Team Cluster for 6 people,,,450,,950,6,,,@csiSL,,,www.nyc.socialinnovation.org,http://www.nyc.socialinnovation.org,centerForSocialInnovation.png,centerForSocialInnovationint.jpg,"At the Centre for Social Innovation, members have 24/7 access to work spaces, lounges, meeting rooms, classrooms and equipment. Choose from 32 private offices, 50 private desks and 300 co-working spaces to get your start in this “equal parts function and whimsy” workspace and join what the organization regards as a “community of change-makers.”",,,
Collab,Manhattan,Lower Manhattan,304 Hudson Street,6th Floor,,$250/month – Shared Desk | $400/month – Private Desk | dedicated seating for $1250 for 4 people,,,250,400,,,,,@collabnyc,,,www.collab-orators.com,http://www.collab-orators.com,collab.png,collabint.jpg,"Collab wants to attract every sort of entrepreneur and hobbyist around. In addition to the 5500 square foot workspace is a fully equipped wood shop, a laser cutter, 3D printer and industrial sewing machines among other things. Part of what Collab is trying to achieve is seeing what happens when people from wildly different fields work in close proximity to each other through their curated membership policy. Located just off the Holland Tunnel, the space is open 24x7x365.",,,
Con Artist Shared Workspace,Manhattan,SoHo,157 Suffolk Street,,,$6/daily | $50/annual membership | $180/monthly fees for access to the space,50,6,180,,,,,,,,,www.conartistnyc.com,http://www.conartistnyc.com,conArtistNYC.png,conArtistNYCint.jpg,"As the name suggests, Con Artist Shared Workspace caters to those with an artistic bent of mind. Started in early 2010 and located just south of Houston Street, the space also has a public art gallery that is open to the public every Wednesday. The facilities available include silk screen presses, sewing machines and a photo studio, among others. Members can only be voted in by other members.",,,
Cowork|rs,Manhattan,Flatiron District,115 E 23rd Street,,,$350/month – shared desk  | $750/month – private desk | office available for $2800 for 5 people,,,350,750,,,2800,5,@coworkrs,,,www.cowork.rs,http://www.cowork.rs,coworkrs.png,coworkrsint.jpg,"Located adjacent to the Madison Square Park, the Flatiron Building, and major subway lines, Cowork|rs is the hottest new space in one of the coolest parts of town for startups. With unparalleled amenities like 3D printers, insanely fast Internet, fresh-brewed gourmet coffee, 24/7 access, and high-tech conference rooms ranging in theme from super-chill to executive, Cowork|rs also features a robust event space and a separate lounge area with a wide assortment of entertainment options.  All, at entrepreneur-friendly pricing.",,,
FABWORKS,Manhattan,Lower East Side,75th E. 4th St.,,,,,,,,,,,,@MadeinLES,,,www.madeinles.org,http://www.madeinles.org,miLES.png,miLESint.jpg,"FABWORKS, a collaborative working space in the heart of downtown from Made in the Lower East Side (miLES) and Fourth Arts Block offers a dynamic space for a variety of startups. The space’s strength rests on its quiet atmosphere and adaptive nature. Members have access to a network of established businesses and entrepreneurs, as well as their street-level retail shop for pop ups. According to a current co-worker, rather than a noisy coffee shop, FABWORKS allows members to work and generate ideas in a quiet, productive atmosphere.",,,
The Farm Soho,Manhattan,SoHo,95 Spring Street,,,$25/day – Daily Rate | $500/month – Dedicated Desk,,25,,500,,,,,,,,www.thefarmspaces.com,http://www.thefarmspaces.com,theFarm.png,theFarmint.jpg,"When General Assembly decided to transform thinkers into creators and transformed itself from a co-working space to an educational institution, its tight-knit co-working community had to find a new home. So a group of them got together and open TheFarm, a huge, airy, light-filled 3500 square foot loft space in Soho with 18 foot ceilings and all of the amenities you’d expect in a co-working space, from a group who’ve been there, done that and who certainly know what the co-working community looks for – all in the heart of Soho.",,,
500 Startups,Manhattan,Flatiron District,Park Avenue South and 27th Street,,,,,,,,,,,,@500Startups,,,www.500.co,http://www.500.co,500Startups.png,500Startupsint.jpg,"The Silicon Valley-based seed fund and startup accelerator added a New York space to its global presence recently. 500 Startups reserves half the space for its portfolio companies, while the other half is available for 35 people from area startups.",,,
Fueled Collective,Manhattan,SoHo,95 Spring Street,,,$350/month – Communal space if already renting a private desk | $650/month – Private Desk,,,350,650,,,,,@fueled,,,www.fueled.com,http://www.fueled.com,fueled.svg,fueledint.jpg,"Another SoHo space, this one in the famous Prince Building, Fueled Collective sells itself as a stylish place with tons of perks and famous neighbors – Foursquare, ZocDoc and Thrillist. The 130 members the space can hold will have access to high speed Internet, 6 English library style conference rooms and a ping-pong table, along with free coffee and snacks.",,,
